键值,原文,翻译
"April 28, 1986 at 21:00 TASS sends a brief information message: \""At the Ukrainian nuclear power plant there was an accident. Measures are being taken to eliminate the consequences of the accident. The victim is assisted. A government commission has been set up to investigate what happened. \"" In the first days after the accident, the population of the 10-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n","April 28, 1986 at 21:00 TASS sends a brief information message: \""At the Ukrainian nuclear power plant there was an accident. Measures are being taken to eliminate the consequences of the accident. The victim is assisted. A government commission has been set up to investigate what happened. \"" In the first days after the accident, the population of the 10-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n",
"The mass media of the Ukrainian SSR suddenly began to talk about a threat to people's lives, and a map of air flows in Central and Eastern Europe was shown on TV screens. Residents were warned about the existing danger and in the first days after the accident the population of the 30-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n","The mass media of the Ukrainian SSR suddenly began to talk about a threat to people's lives, and a map of air flows in Central and Eastern Europe was shown on TV screens. Residents were warned about the existing danger and in the first days after the accident the population of the 30-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n",
"In Kiev and other cities of Ukraine and Belarus, festive demonstrations and festivities devoted to May Day were held. The persons responsible for concealment of information, subsequently explained their decision by the need to prevent panic among the population. First Secretary of the CPU V.Shcherbitsky was absent from the parade for health reasons and was resting at the cottage in the Crimea. Instead, the parade was held by 1 Secretary of the Central Committee of the Kiev City Committee on the instructions of Mikhail S. Gorbachev.\n","In Kiev and other cities of Ukraine and Belarus, festive demonstrations and festivities devoted to May Day were held. The persons responsible for concealment of information, subsequently explained their decision by the need to prevent panic among the population. First Secretary of the CPU V.Shcherbitsky was absent from the parade for health reasons and was resting at the cottage in the Crimea. Instead, the parade was held by 1 Secretary of the Central Committee of the Kiev City Committee on the instructions of Mikhail S. Gorbachev.\n",
"The construction of the sarcophagus began around the reactor, the construction of additional units was canceled, just like the nuclear power plant itself was decommissioned. This required the allocation of funds and led to the receiving radiation by special brigades, but the area was secured. At the same time, the task was to evacuate the population from the territories for another 30 km away from the disaster site in order to avoid civilian irradiation. The safe ways of moving the columns of the evacuated population were determined taking into account the already obtained radiation reconnaissance data. Such a large campaign attracted the attention of an independent publisher and began to spread panic among the population.\n","The construction of the sarcophagus began around the reactor, the construction of additional units was canceled, just like the nuclear power plant itself was decommissioned. This required the allocation of funds and led to the receiving radiation by special brigades, but the area was secured. At the same time, the task was to evacuate the population from the territories for another 30 km away from the disaster site in order to avoid civilian irradiation. The safe ways of moving the columns of the evacuated population were determined taking into account the already obtained radiation reconnaissance data. Such a large campaign attracted the attention of an independent publisher and began to spread panic among the population.\n",
"The introduction of individual and broad cooperative entrepreneurship led to the growth of corrupt ties between private traders and party members, the growth of speculation false decommissioned goods at higher prices (and, consequently, the increase in the deficit in state stores) and the appearance of schemes and fraudulent schemes for the false bankruptcy of enterprises for profit. It seems that a large part of the subsidies and credits went into the hands of scammers, but the people are pleased with the changes that have begun.","The introduction of individual and broad cooperative entrepreneurship led to the growth of corrupt ties between private traders and party members, the growth of speculation false decommissioned goods at higher prices (and, consequently, the increase in the deficit in state stores) and the appearance of schemes and fraudulent schemes for the false bankruptcy of enterprises for profit. It seems that a large part of the subsidies and credits went into the hands of scammers, but the people are pleased with the changes that have begun.",
"d) Power of the army. While wars between superpowers are no long gone, strong army is still needed for local conflicts and some operations. And of course, even a superpower can be attacked by a more powerful enemy.\nd) Soviet budget. All available money, except your gold reserves, can be spent in different economy spheres.\nf) Authority points. Even a ruler must have enough authority for in order to make changes. You will use them to change doctrines, appoint new ministers and interact with other countries on the World map. Some events can also use points. These points can drop below 0, but they are restored over time.\ng) Loyalty of the CSS. Rioting special services are not a good thing. If loyalty is too low, you will have to confront them. People and army can help you, but it's better to prevent such situations.\nh) Loyalty of generals. Unhappy generals can easily organize a military coup. But you will still have the CSS and people on your side.\ni)Science points. You will spend these points in the Academy of Sciences to develop new technologies, which will surely help you. They are gained through financing science and some other factors, for example, space staion MIR","d) Power of the army. While wars between superpowers are no long gone, strong army is still needed for local conflicts and some operations. And of course, even a superpower can be attacked by a more powerful enemy.\nd) Soviet budget. All available money, except your gold reserves, can be spent in different economy spheres.\nf) Authority points. Even a ruler must have enough authority for in order to make changes. You will use them to change doctrines, appoint new ministers and interact with other countries on the World map. Some events can also use points. These points can drop below 0, but they are restored over time.\ng) Loyalty of the CSS. Rioting special services are not a good thing. If loyalty is too low, you will have to confront them. People and army can help you, but it's better to prevent such situations.\nh) Loyalty of generals. Unhappy generals can easily organize a military coup. But you will still have the CSS and people on your side.\ni)Science points. You will spend these points in the Academy of Sciences to develop new technologies, which will surely help you. They are gained through financing science and some other factors, for example, space staion MIR",
"Sometimes additional information about the country is shown - ruling party, local war, it's loyalty etc.\n Many countries can be interacted with, using buttons below information about it. Actions require fulfillment of listed requirements and at least 1 authority point. While actions with different countries are also different, there are some general ones:\n- Dotations, support and financing of a country will drain your resources and reduce your income. It's cheap to finance some countries, but a large number of dotations can damage your economy. Dotations for third world countries work differently.\n- Military aid or invasions reduce the size and power of your army. Changes are not significant, but don't do it too often\n- The diplomatic map is the only way to find out support of the USSR countries. Keep in mind, that when country leaves the USSR, so called \""Status\"" appear - it shows likeliness of the country to join NATO. If status reaches 0, country will join NATO and it will become a lot harder to return it\n- Warsaw pact works similarly. If loyalty is too low - country will distance from the USSR, if liberalisation is high - it will pass capitalistic reforms. Neither will end well.","Sometimes additional information about the country is shown - ruling party, local war, it's loyalty etc.\n Many countries can be interacted with, using buttons below information about it. Actions require fulfillment of listed requirements and at least 1 authority point. While actions with different countries are also different, there are some general ones:\n- Dotations, support and financing of a country will drain your resources and reduce your income. It's cheap to finance some countries, but a large number of dotations can damage your economy. Dotations for third world countries work differently.\n- Military aid or invasions reduce the size and power of your army. Changes are not significant, but don't do it too often\n- The diplomatic map is the only way to find out support of the USSR countries. Keep in mind, that when country leaves the USSR, so called \""Status\"" appear - it shows likeliness of the country to join NATO. If status reaches 0, country will join NATO and it will become a lot harder to return it\n- Warsaw pact works similarly. If loyalty is too low - country will distance from the USSR, if liberalisation is high - it will pass capitalistic reforms. Neither will end well.",
"After the removal of reformers from the Party, Romanov refused from anti-alcohol campaign, continued Brezhnev's politics, while developing science in the country, especially space field, and supporting slow automatization. Some confrontation was present in foreign politics and Afghan war was still going on. Tries of Ligachev and reformers to criticize Romanov led to their defeat. Politbureau supported Romanov.","After the removal of reformers from the Party, Romanov refused from anti-alcohol campaign, continued Brezhnev's politics, while developing science in the country, especially space field, and supporting slow automatization. Some confrontation was present in foreign politics and Afghan war was still going on. Tries of Ligachev and reformers to criticize Romanov led to their defeat. Politbureau supported Romanov.",
"Now, when Gromyko, Grishin's protector, is dead, we can declare that moderate conservative politics can't satisfy anybody. Weakening of influence in Afghanistan, failure of anti-alcohol campaign and the Acceleration, tries to restore Stalinism, unsuccessful detente - all of this is used against Grishin and his illness only makes it worse. When Grishin is sent to the hospital, Gorbachev quickly calls for the Party meeting, gets support from Ligachev and moderates and takes power.","Now, when Gromyko, Grishin's protector, is dead, we can declare that moderate conservative politics can't satisfy anybody. Weakening of influence in Afghanistan, failure of anti-alcohol campaign and the Acceleration, tries to restore Stalinism, unsuccessful detente - all of this is used against Grishin and his illness only makes it worse. When Grishin is sent to the hospital, Gorbachev quickly calls for the Party meeting, gets support from Ligachev and moderates and takes power.",
Required: reserve > 700 and political power > 20 and power of kgb > 70 and power of communism in this country < 40,Required: reserve > 700 and political power > 20 and power of kgb > 70 and power of communism in this country < 40,
